titulo,meters,price,bathrooms,category,link,municipality,operation,owner,rooms
Nave en Venta,380 m²,€ 240.000,1 baño,Nave,https://www.indomio.es/anuncios/95052149/,Vitoria - Gasteiz,Venta,INMOBILIARIA MENDI,1
Nave en Venta,540 m²,€ 905.000,1 baño,Nave,https://www.indomio.es/anuncios/94967821/,Andorra la Vella,Venta,Andorra Finques,1
Nave en Venta,1.878 m²,€ 10.500.000,1 baño,Nave,https://www.indomio.es/anuncios/85577465/,Andorra la Vella,Venta,Finques 3 Cases,1
Nave en Venta,385 m²,€ 595.000,desc,Nave,https://www.indomio.es/anuncios/93285873/,Andorra la Vella,Venta,On Star Immobiliària,0
Nave en Venta,500 m² ,€ 1.750.000,desc,Nave,https://www.indomio.es/anuncios/95705737/,Torrevieja,Venta,RC Sales & Constructions,0
Nave en Venta,1.270 m²,€ 340.000,desc,Nave,https://www.indomio.es/anuncios/94286121/,Santiago de Compostela,Venta,,0
Nave en Venta,1.426 m² ,€ 700.000,2 baños,Nave,https://www.indomio.es/anuncios/95710449/,Santiago de Compostela,Venta,Best House Santiago Zona Nueva,2
Nave en Venta,2.900 m²,€ 1.200.000,3+ baños,Nave,https://www.indomio.es/anuncios/87145467/,Santiago de Compostela,Venta,URBAN,1
Nave en Venta,882 m²,€ 320.000,desc,Nave,https://www.indomio.es/anuncios/94355835/,Santiago de Compostela,Venta,Wengué,2
Nave en Venta,6.000 m²,€ 700.000,2 baños,Nave,https://www.indomio.es/anuncios/83481155/,Santiago de Compostela,Venta,URBAN,2
Nave en Venta,1.426 m²,€ 700.000,desc,Nave,https://www.indomio.es/anuncios/94244851/,Santiago de Compostela,Venta,Best House Santiago Plazavigo,0
Nave en Venta,desc,€ 300.000,desc,Nave,https://www.indomio.es/anuncios/85624605/,Villaquilambre,Venta,Inmobiliaria OrdoÑo,0
Nave en Venta,450 m²,€ 115.000,desc,Nave,https://www.indomio.es/anuncios/91962707/,Santovenia de La Valdoncina,Venta,Inmobiliaria Pilar Ramos,0
Nave en Venta,450 m²,€ 350.000,3 baños,Nave,https://www.indomio.es/anuncios/85103025/,Santovenia de La Valdoncina,Venta,Inmobiliaria Humedo,3
Nave en Venta,650 m²,€ 285.000,2 baños,Nave,https://www.indomio.es/anuncios/95004707/,Santovenia de La Valdoncina,Venta,Inmobiliaria Santa Ana,2
Nave en Venta,200 m² ,€ 150.000,2 baños,Nave,https://www.indomio.es/anuncios/95700795/,Santovenia de La Valdoncina,Venta,Best House León,2
Nave en Venta,1.000 m²,€ 280.000,2 baños,Nave,https://www.indomio.es/anuncios/95004689/,Santovenia de La Valdoncina,Venta,Inmobiliaria Santa Ana,2
Nave en Venta,300 m²,€ 95.000,desc,Nave,https://www.indomio.es/anuncios/94954933/,Zamora,Venta,Inmobiliaria Santa Clara,0
Nave en Venta,1.178 m² ,€ 420.000,3 baños,Nave,https://www.indomio.es/anuncios/95710265/,Coreses,Venta,Inmobiliaria La Brasa,3
Nave en Venta,1.752 m²,€ 219.000,desc,Nave,https://www.indomio.es/anuncios/95629659/,Coreses,Venta,HOME 2008,0
Local comercial en Venta,21 m²,€ 45.000,desc,Local comercial,https://www.indomio.es/anuncios/94955007/,Zamora,Venta,Inmobiliaria Santa Clara,0
Local comercial en Venta,67 m²,€ 39.000,desc,Local comercial,https://www.indomio.es/anuncios/95551225/,Zamora,Venta,Estudio10 Inmobiliaria,1
Nave en Venta,494 m²,€ 150.000,desc,Nave,https://www.indomio.es/anuncios/95516075/,Coreses,Venta,Inmobiliaria Santa Clara,0
Local comercial en Venta,325 m²,€ 360.000,desc,Local comercial,https://www.indomio.es/anuncios/94449867/,Zamora,Venta,Inmobiliaria del Duero,0
Nave en Venta,195 m²,€ 35.000,desc,Nave,https://www.indomio.es/anuncios/94762193/,Coreses,Venta,INMOBILIARIA MR. BIBENDO,1
Local comercial en Venta,850 m²,€ 400.000,2 baños,Local comercial,https://www.indomio.es/anuncios/95551229/,Zamora,Venta,Estudio10 Inmobiliaria,3
Local comercial en Venta,173 m²,€ 105.000,desc,Local comercial,https://www.indomio.es/anuncios/94463659/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,125 m²,€ 130.000,desc,Local comercial,https://www.indomio.es/anuncios/95629759/,Zamora,Venta,HOME 2008,1
Local comercial en Venta,190 m²,€ 95.000,desc,Local comercial,https://www.indomio.es/anuncios/94463699/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,39 m²,€ 28.000,desc,Local comercial,https://www.indomio.es/anuncios/93833323/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,416 m²,€ 679.000,1 baño,Local comercial,https://www.indomio.es/anuncios/94463617/,Zamora,Venta,Inmobiliaria del Duero,1
Local comercial en Venta,285 m²,€ 110.000,1 baño,Local comercial,https://www.indomio.es/anuncios/85246697/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,61 m² ,€ 70.000,desc,Local comercial,https://www.indomio.es/anuncios/95687769/,Zamora,Venta,Inmobiliaria Elena Mayado,0
Local comercial en Venta,125 m²,€ 75.000,desc,Local comercial,https://www.indomio.es/anuncios/87754629/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,165 m²,€ 125.000,desc,Local comercial,https://www.indomio.es/anuncios/92761851/,Zamora,Venta,Inmobiliaria Loft 14,2
Local comercial en Venta,572 m²,€ 298.000,desc,Local comercial,https://www.indomio.es/anuncios/95629725/,Zamora,Venta,HOME 2008,1
Local comercial en Venta,188 m²,€ 120.000,1 baño,Local comercial,https://www.indomio.es/anuncios/85246761/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,340 m²,€ 185.000,1 baño,Local comercial,https://www.indomio.es/anuncios/94955063/,Zamora,Venta,Inmobiliaria Santa Clara,1
Local comercial en Venta,126 m²,€ 280.000,2 baños,Local comercial,https://www.indomio.es/anuncios/94946783/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,3
Local comercial en Venta,204 m²,€ 149.900,desc,Local comercial,https://www.indomio.es/anuncios/95653111/,Zamora,Venta,Alza Inmobiliaria,0
Local comercial en Venta,55 m²,€ 100.000,desc,Local comercial,https://www.indomio.es/anuncios/85246657/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,135 m²,€ 90.000,2 baños,Local comercial,https://www.indomio.es/anuncios/93017751/,Zamora,Venta,Inmobiliaria La Brasa,2
Local comercial en Venta,124 m²,€ 102.000,desc,Local comercial,https://www.indomio.es/anuncios/95927633/,Zamora,Venta,Alza Inmobiliaria,0
Local comercial en Venta,513 m²,€ 400.000,2 baños,Local comercial,https://www.indomio.es/anuncios/93766273/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,6
