meters,price,bathrooms,category,link,municipality,operation,owner,rooms
90 m² ,€ 550/mes,1 baño,Piso ,https://www.indomio.es/anuncios/95990051/,A Coruña,Alquiler,,4
53 m²,€ 720/mes,1 baño,Piso ,https://www.indomio.es/anuncios/93864435/,A Coruña,Alquiler,,4
65 m²,€ 520/mes,1 baño,Piso ,https://www.indomio.es/anuncios/93816947/,A Coruña,Alquiler,,5
82 m²,€ 470/mes,1 baño,Piso ,https://www.indomio.es/anuncios/95996891/,A Coruña,Alquiler,,6
80 m²,€ 550/mes,1 baño,Piso ,https://www.indomio.es/anuncios/93483699/,A Coruña,Alquiler,,6
80 m²,€ 550/mes,1 baño,Piso ,https://www.indomio.es/anuncios/93565273/,A Coruña,Alquiler,,6
90 m²,€ 950/mes,1 baño,Piso,https://www.indomio.es/anuncios/95848383/,A Coruña,Alquiler,,4
80 m²,€ 900/mes,1 baño,Piso,https://www.indomio.es/anuncios/93655737/,A Coruña,Alquiler,Versalles Servicios Inmobiliarios,3
98 m²,€ 1.100/mes,1 baño,Piso,https://www.indomio.es/anuncios/95861119/,A Coruña,Alquiler,,3
121 m²,€ 800/mes,2 baños,Piso,https://www.indomio.es/anuncios/95867731/,A Coruña,Alquiler,Proyectos Integrales Norte SL,6
84 m²,€ 650/mes,1 baño,Piso ,https://www.indomio.es/anuncios/95858201/,A Coruña,Alquiler,,6
86 m²,€ 700/mes,1 baño,Piso ,https://www.indomio.es/anuncios/95743761/,A Coruña,Alquiler,,6
78 m²,€ 1.050/mes,desc,Piso ,https://www.indomio.es/anuncios/95959919/,A Coruña,Alquiler,,4
64 m²,€ 750/mes,desc,Piso,https://www.indomio.es/anuncios/95864305/,A Coruña,Alquiler,Atico Servicios Inmobiliarios,2
81 m²,€ 800/mes,1 baño,Piso ,https://www.indomio.es/anuncios/95557371/,A Coruña,Alquiler,,4
52 m²,€ 500/mes,desc,Piso ,https://www.indomio.es/anuncios/95953101/,A Coruña,Alquiler,,3
100 m²,€ 650/mes,2 baños,Piso,https://www.indomio.es/anuncios/95976811/,A Coruña,Alquiler,Centro Inmobiliaria A Coruña,5
85 m²,€ 850/mes,2 baños,Piso ,https://www.indomio.es/anuncios/93447863/,A Coruña,Alquiler,,7
80 m²,€ 795/mes,desc,Piso,https://www.indomio.es/anuncios/95773271/,A Coruña,Alquiler,Antares Inmobiliaria,2
90 m²,€ 900/mes,2 baños,Piso,https://www.indomio.es/anuncios/94972039/,A Coruña,Alquiler,Inmobiliaria Los Puentes,4
80 m²,€ 530/mes,1 baño,Piso ,https://www.indomio.es/anuncios/93587251/,A Coruña,Alquiler,,6
129 m²,,1 baño,Piso,https://www.indomio.es/anuncios/95752779/,A Coruña,Alquiler,,3
48 m²,€ 400/mes,1 baño,Piso,https://www.indomio.es/anuncios/95262801/,A Coruña,Alquiler,,4
96 m² ,€ 980/mes,1 baño,Piso ,https://www.indomio.es/anuncios/95442189/,A Coruña,Alquiler,,4
93 m²,€ 950/mes,2 baños,Piso,https://www.indomio.es/anuncios/95291031/,A Coruña,Alquiler,Asesoría Díaz,4
