meters,price,bathrooms,category,link,municipality,operation,owner,rooms
74 m²,€ 227.000,1 baño,Piso,https://www.indomio.es/anuncios/95804553/,A Coruña,Venta,Best House Guanarteme,3
83 m²,€ 222.000,,Piso,https://www.indomio.es/anuncios/93260971/,A Coruña,Venta,ALTERNATIVA FINANCIERA,2
100 m²,€ 350.000,2 baños,Piso,https://www.indomio.es/anuncios/92173529/,A Coruña,Venta,Urbeko Inmobiliaria,5
107 m²,€ 121.900,1 baño,Piso,https://www.indomio.es/anuncios/94605699/,A Coruña,Venta,Aliseda Inmobiliaria,4
,€ 40.000,,Casa rústica,https://www.indomio.es/anuncios/92402663/,A Coruña,Venta,Inmobiliaria Pardo,
118 m²,€ 354.500,2 baños,Piso,https://www.indomio.es/anuncios/95892001/,A Coruña,Venta,,4
140 m²,€ 410.000,2 baños,Piso,https://www.indomio.es/anuncios/95604905/,A Coruña,Venta,Fogar servicios inmobiliarios,5
113 m²,€ 440.000,2 baños,Piso,https://www.indomio.es/anuncios/94285665/,A Coruña,Venta,,5
111 m²,€ 243.000,2 baños,Piso,https://www.indomio.es/anuncios/95752781/,A Coruña,Venta,,5
64 m²,€ 173.000,1 baño,Piso,https://www.indomio.es/anuncios/95835379/,A Coruña,Venta,Urbeko Inmobiliaria,3
76 m²,€ 171.900,1 baño,Piso ,https://www.indomio.es/anuncios/95591135/,A Coruña,Venta,INMOBILIARIA CENTRO,2
121 m²,€ 575.000,2 baños,Piso,https://www.indomio.es/anuncios/95893765/,A Coruña,Venta,Best House Guanarteme,5
89 m²,€ 230.000,2 baños,Piso,https://www.indomio.es/anuncios/94888261/,A Coruña,Venta,Inmoforum,5
195 m²,€ 880.000,2 baños,Piso,https://www.indomio.es/anuncios/95265757/,A Coruña,Venta,BRIGANTIA REAL ESTATE,6
108 m²,€ 195.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95281941/,A Coruña,Venta,Inmobiliaria Pardo,5
116 m²,€ 380.000,2 baños,Piso,https://www.indomio.es/anuncios/95395493/,A Coruña,Venta,Urbeko Inmobiliaria,6
138 m²,€ 300.000,2 baños,Piso,https://www.indomio.es/anuncios/95387649/,A Coruña,Venta,,5
97 m²,€ 382.000,2 baños,Piso,https://www.indomio.es/anuncios/95434855/,A Coruña,Venta,LOSADA&CO,4
176 m²,€ 105.000,,Piso,https://www.indomio.es/anuncios/95862175/,A Coruña,Venta,Inmoforum,
108 m²,€ 135.000,2 baños,Piso,https://www.indomio.es/anuncios/95959747/,A Coruña,Venta,Grupo Beiramar,5
248 m²,€ 400.000,,Edificio,https://www.indomio.es/anuncios/90860215/,A Coruña,Venta,Blancocasa Inmobiliaria,
80 m² ,€ 180.000,1 baño,Piso,https://www.indomio.es/anuncios/92626861/,A Coruña,Venta,Topbrokers,2
280 m²,€ 900.000,3 baños,Casa adosada,https://www.indomio.es/anuncios/95644583/,A Coruña,Venta,Inmobiliaria Los Puentes,8
144 m²,€ 349.000,2 baños,Piso,https://www.indomio.es/anuncios/95769403/,A Coruña,Venta,Proyectos Integrales Norte SL,5
94 m²,€ 250.000,1 baño,Piso,https://www.indomio.es/anuncios/95777745/,A Coruña,Venta,INMOTK,3
60 m²,€ 216.000,1 baño,Piso,https://www.indomio.es/anuncios/95050755/,A Coruña,Venta,,3
109 m²,€ 215.000,2 baños,Piso,https://www.indomio.es/anuncios/95488223/,A Coruña,Venta,Redivari,6
108 m²,€ 275.000,2 baños,Piso,https://www.indomio.es/anuncios/95668331/,A Coruña,Venta,Atico Servicios Inmobiliarios,6
118 m²,€ 335.000,2 baños,Piso,https://www.indomio.es/anuncios/95858447/,A Coruña,Venta,Asinmo Asesoria - Inmobiliaria,6
120 m²,€ 550.000,2 baños,Piso,https://www.indomio.es/anuncios/95858459/,A Coruña,Venta,Asinmo Asesoria - Inmobiliaria,5
215 m²,€ 320.000,,Casa unifamiliar,https://www.indomio.es/anuncios/95939059/,A Coruña,Venta,Inmobiliaria Pardo,
298 m²,€ 250.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/94340771/,A Coruña,Venta,Gestión Inmobiliaria Artemisa,10
90 m²,€ 175.000,1 baño,Piso,https://www.indomio.es/anuncios/94406141/,A Coruña,Venta,BRIGANTIA REAL ESTATE,4
93 m²,€ 159.000,2 baños,Piso,https://www.indomio.es/anuncios/95850299/,A Coruña,Venta,Inmoforum,4
760 m²,€ 680.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/82154983/,A Coruña,Venta,Norz Grupo Inmobiliario,15
295 m²,€ 465.000,3+ baños,Casa unifamiliar,https://www.indomio.es/anuncios/94182719/,A Coruña,Venta,Gestión Inmobiliaria Artemisa,7
70 m²,€ 220.000,2 baños,Dúplex,https://www.indomio.es/anuncios/94286241/,A Coruña,Venta,,4
105 m²,€ 175.000,,Piso,https://www.indomio.es/anuncios/94814401/,A Coruña,Venta,Proyectos Integrales Norte SL,4
59 m²,€ 319.500,,Piso,https://www.indomio.es/anuncios/94862073/,A Coruña,Venta,Proyectos Integrales Norte SL,2
88 m²,€ 243.000,2 baños,Piso,https://www.indomio.es/anuncios/94971979/,A Coruña,Venta,Inmobiliaria Los Puentes,5
372 m²,€ 530.000,,Edificio,https://www.indomio.es/anuncios/95169983/,A Coruña,Venta,Inmobiliaria Los Puentes,
137 m²,€ 490.000,3 baños,Piso,https://www.indomio.es/anuncios/95398627/,A Coruña,Venta,Inmoforum,8
86 m²,€ 345.000,2 baños,Piso,https://www.indomio.es/anuncios/94972009/,A Coruña,Venta,Inmobiliaria Los Puentes,4
100 m²,€ 270.000,2 baños,Piso,https://www.indomio.es/anuncios/95446815/,A Coruña,Venta,Inmoforum,5
,€ 74.000,1 baño,Piso,https://www.indomio.es/anuncios/95501577/,A Coruña,Venta,Inmobiliaria Pardo,1
1 m²,€ 1.000.000,,Edificio,https://www.indomio.es/anuncios/95604685/,A Coruña,Venta,Fogar servicios inmobiliarios,
86 m² ,€ 130.000,1 baño,Piso ,https://www.indomio.es/anuncios/95756561/,A Coruña,Venta,,5
107 m²,€ 240.000,2 baños,Piso ,https://www.indomio.es/anuncios/81641642/,A Coruña,Venta,Asesoría Díaz,5
250 m² ,€ 385.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95687417/,A Coruña,Venta,Inmoforum,7
74 m²,€ 101.200,1 baño,Piso,https://www.indomio.es/anuncios/95445539/,A Coruña,Venta,Aliseda Inmobiliaria,4
203 m²,€ 595.000,3+ baños,Piso,https://www.indomio.es/anuncios/94170515/,A Coruña,Venta,Centro Inmobiliaria A Coruña,5
212 m²,€ 270.000,2 baños,Chalet,https://www.indomio.es/anuncios/94286589/,A Coruña,Venta,,5
50 m²,€ 90.000,,Piso,https://www.indomio.es/anuncios/95328817/,A Coruña,Venta,Inmobiliaria Los Puentes,2
101 m²,€ 390.000,2 baños,Piso,https://www.indomio.es/anuncios/95858467/,A Coruña,Venta,Asinmo Asesoria - Inmobiliaria,5
51 m²,€ 130.000,1 baño,Piso,https://www.indomio.es/anuncios/95956855/,A Coruña,Venta,Otero Ramos,3
