meters,price,bathrooms,category,link,municipality,operation,owner,rooms
58 m²,€ 49.000,1 baño,Piso,https://www.indomio.es/anuncios/95957539/,Albacete,Venta,Albapisos Grupo Inmobiliario,3
125 m²,€ 235.000,2 baños,Piso,https://www.indomio.es/anuncios/95629377/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,5
170 m² ,€ 230.000,2 baños,Casa adosada,https://www.indomio.es/anuncios/95690567/,Albacete,Venta,InmoHouse,7
132 m²,€ 265.000,2 baños,Piso,https://www.indomio.es/anuncios/89145411/,Albacete,Venta,Meraki,6
130 m²,€ 410.000,3 baños,Piso,https://www.indomio.es/anuncios/89980749/,Albacete,Venta,InmoHouse,7
55 m²,€ 120.000,1 baño,Piso,https://www.indomio.es/anuncios/95987341/,Albacete,Venta,Meraki,2
90 m²,€ 180.000,2 baños,Piso,https://www.indomio.es/anuncios/90099757/,Albacete,Venta,Virtual-home,5
126 m²,€ 240.000,2 baños,Piso,https://www.indomio.es/anuncios/88087259/,Albacete,Venta,Inmobiliaria La Noria,5
120 m²,€ 242.000,2 baños,Piso,https://www.indomio.es/anuncios/91683633/,Albacete,Venta,InmoHouse,5
118 m²,€ 220.000,2 baños,Piso,https://www.indomio.es/anuncios/93678029/,Albacete,Venta,Inmobiliaria Albacete E.T.I.,5
148 m² ,€ 320.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95708675/,Albacete,Venta,Meraki,5
118 m² ,€ 168.000,1 baño,Casa unifamiliar,https://www.indomio.es/anuncios/95687385/,Albacete,Venta,Inmobiliaria La Mancha,4
130 m²,€ 170.000,2 baños,Piso,https://www.indomio.es/anuncios/94625197/,Albacete,Venta,Torrecastilla,6
105 m²,€ 190.000,1 baño,Piso,https://www.indomio.es/anuncios/94833235/,Albacete,Venta,Torrecastilla,4
118 m²,€ 95.000,1 baño,Piso,https://www.indomio.es/anuncios/94872493/,Albacete,Venta,InmoHouse,6
105 m²,€ 195.000,2 baños,Piso,https://www.indomio.es/anuncios/95095997/,Albacete,Venta,Soluziones Inmobiliarias,5
143 m²,€ 195.000,2 baños,Piso,https://www.indomio.es/anuncios/95165121/,Albacete,Venta,InmoHouse,6
115 m²,€ 178.000,1 baño,Piso,https://www.indomio.es/anuncios/95205839/,Albacete,Venta,InmoHouse,4
102 m²,€ 300.000,2 baños,Piso,https://www.indomio.es/anuncios/95595549/,Albacete,Venta,Inmobiliaria La Mancha,6
74 m²,€ 159.500,1 baño,Piso,https://www.indomio.es/anuncios/95906331/,Albacete,Venta,Meraki,3
58 m²,€ 59.500,1 baño,Piso,https://www.indomio.es/anuncios/95957537/,Albacete,Venta,Albapisos Grupo Inmobiliario,2
110 m²,€ 180.000,2 baños,Piso,https://www.indomio.es/anuncios/80516732/,Albacete,Venta,Meraki,6
152 m² ,€ 200.000,,Casa unifamiliar,https://www.indomio.es/anuncios/95725807/,Albacete,Venta,Inmobiliaria Tejares,
475 m²,€ 275.000,3+ baños,Casa unifamiliar,https://www.indomio.es/anuncios/83867947/,Albacete,Venta,Inmobiliaria Tejares,7
120 m²,€ 178.000,2 baños,Piso,https://www.indomio.es/anuncios/84528261/,Albacete,Venta,Inmobiliaria Tejares,5
157 m²,€ 355.000,3 baños,Piso,https://www.indomio.es/anuncios/93082529/,Albacete,Venta,Meraki,7
104 m²,€ 250.000,1 baño,Piso,https://www.indomio.es/anuncios/88385441/,Albacete,Venta,InmoHouse,4
100 m²,€ 190.000,2 baños,Piso,https://www.indomio.es/anuncios/89584279/,Albacete,Venta,Inmobiliaria Tejares,5
500 m²,€ 275.000,3 baños,Chalet,https://www.indomio.es/anuncios/90259589/,Albacete,Venta,Alquilofacil - Albacete,9
115 m²,€ 180.000,2 baños,Piso,https://www.indomio.es/anuncios/90583591/,Albacete,Venta,Consuelo Valera Inmobiliaria & Reformas,6
120 m²,€ 150.000,2 baños,Piso,https://www.indomio.es/anuncios/90583569/,Albacete,Venta,Consuelo Valera Inmobiliaria & Reformas,6
125 m²,€ 295.800,2 baños,Piso,https://www.indomio.es/anuncios/91072837/,Albacete,Venta,AGENCIA INMOBILIARIA INTURAL,5
127 m²,€ 115.000,2 baños,Piso,https://www.indomio.es/anuncios/91662071/,Albacete,Venta,Inmobiliaria La Mancha,6
94 m²,€ 185.000,2 baños,Piso,https://www.indomio.es/anuncios/94920067/,Albacete,Venta,Ana Isabel Martinez Marchante,5
156 m²,€ 180.000,1 baño,Piso,https://www.indomio.es/anuncios/92649893/,Albacete,Venta,Inmobiliaria La Mancha,5
4.000 m² ,€ 990.000,3+ baños,Edificio ,https://www.indomio.es/anuncios/95776463/,Albacete,Venta | Alquiler con opción a compra,,5
98 m²,€ 145.000,2 baños,Piso,https://www.indomio.es/anuncios/95782003/,Albacete,Venta,InmoHouse,5
710 m² ,€ 274.000,3 baños,Casa adosada,https://www.indomio.es/anuncios/95708097/,Albacete,Venta,Inmobiliaria La Noria,8
158 m²,€ 400.000,3 baños,Piso,https://www.indomio.es/anuncios/79441047/,Albacete,Venta,Meraki,7
170 m²,€ 280.000,2 baños,Piso,https://www.indomio.es/anuncios/82554927/,Albacete,Venta,Inmobiliaria La Noria,6
130 m²,€ 220.000,2 baños,Piso,https://www.indomio.es/anuncios/88894547/,Albacete,Venta,Inmobiliaria La Noria,5
304 m² ,€ 310.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95687369/,Albacete,Venta,Inmobiliaria La Mancha,5
107 m²,€ 135.000,2 baños,Piso,https://www.indomio.es/anuncios/92383807/,Albacete,Venta,Ana Isabel Martinez Marchante,4
143 m²,€ 350.000,2 baños,Piso,https://www.indomio.es/anuncios/92786601/,Albacete,Venta,Inmobiliaria La Mancha,6
67 m²,€ 135.000,1 baño,Piso,https://www.indomio.es/anuncios/92877249/,Albacete,Venta,Meraki,3
200 m²,€ 128.000,2 baños,Casa adosada ,https://www.indomio.es/anuncios/92892641/,Albacete,Venta,,7
72 m²,€ 140.000,1 baño,Piso,https://www.indomio.es/anuncios/95478667/,Albacete,Venta,Inmobiliaria La Mancha,3
90 m²,€ 210.000,2 baños,Piso,https://www.indomio.es/anuncios/93972609/,Albacete,Venta,Alquilofacil - Albacete,6
105 m²,€ 135.000,1 baño,Piso,https://www.indomio.es/anuncios/94072493/,Albacete,Venta,,5
206 m²,€ 320.000,2 baños,Piso,https://www.indomio.es/anuncios/94126989/,Albacete,Venta,Meraki,7
280 m²,€ 410.000,3+ baños,Casa adosada,https://www.indomio.es/anuncios/94194419/,Albacete,Venta,InmoHouse,5
88 m²,€ 245.000,2 baños,Piso,https://www.indomio.es/anuncios/94279977/,Albacete,Venta,InmoHouse,4
58 m²,€ 60.000,1 baño,Piso,https://www.indomio.es/anuncios/94560051/,Albacete,Venta,Exp España,4
85 m²,€ 153.000,2 baños,Piso,https://www.indomio.es/anuncios/94825255/,Albacete,Venta,Inmobiliaria Tejares,4
155 m²,€ 290.000,2 baños,Piso,https://www.indomio.es/anuncios/94936275/,Albacete,Venta,Fincasa Inmobiliaria,7
177 m²,€ 179.000,2 baños,Piso,https://www.indomio.es/anuncios/95274099/,Albacete,Venta,Inmobiliaria La Mancha,7
165 m²,€ 370.000,2 baños,Piso,https://www.indomio.es/anuncios/95629407/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,5
135 m²,€ 174.900,,Piso,https://www.indomio.es/anuncios/95734541/,Albacete,Venta,Global House Albacete,3
158 m²,€ 170.000,1 baño,Casa unifamiliar,https://www.indomio.es/anuncios/95905883/,Albacete,Venta,Grupo Luxury Home,6
470 m² ,€ 400.000,3 baños,Casa rústica,https://www.indomio.es/anuncios/95708665/,Albacete,Venta,Meraki,10
170 m²,€ 575.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/82402091/,Albacete,Venta,Inmobiliaria Tejares,6
150 m²,€ 215.000,2 baños,Piso,https://www.indomio.es/anuncios/88997963/,Albacete,Venta,Inmobiliaria La Noria,6
161 m²,€ 91.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95807879/,Albacete,Venta,Fincasa Inmobiliaria,8
85 m²,€ 186.000,1 baño,Piso,https://www.indomio.es/anuncios/93720729/,Albacete,Venta,InmoHouse,3
129 m²,€ 200.000,2 baños,Piso,https://www.indomio.es/anuncios/94370211/,Albacete,Venta,InmoHouse,5
575 m²,€ 270.000,2 baños,Casa rústica,https://www.indomio.es/anuncios/93914581/,Albacete,Venta,Iml Inmobiliaria,4
280 m² ,€ 320.000,3 baños,Casa unifamiliar ,https://www.indomio.es/anuncios/93997361/,Albacete,Venta,,7
836 m²,€ 750.000,3+ baños,Chalet,https://www.indomio.es/anuncios/94053499/,Albacete,Venta,,10
70 m²,€ 188.000,1 baño,Piso,https://www.indomio.es/anuncios/94226785/,Albacete,Venta,Ana Isabel Martinez Marchante,3
95 m²,€ 165.000,2 baños,Piso,https://www.indomio.es/anuncios/95798735/,Albacete,Venta,Consuelo Valera Inmobiliaria & Reformas,5
125 m²,€ 249.000,2 baños,Piso,https://www.indomio.es/anuncios/95808707/,Albacete,Venta,InmoHouse,4
172 m²,€ 230.000,2 baños,Piso,https://www.indomio.es/anuncios/95808693/,Albacete,Venta,InmoHouse,5
140 m²,€ 240.000,2 baños,Piso,https://www.indomio.es/anuncios/95862053/,Albacete,Venta,Inmobiliaria La Mancha,5
320 m² ,€ 255.000,1 baño,Casa unifamiliar,https://www.indomio.es/anuncios/95708111/,Albacete,Venta,Inmobiliaria La Noria,5
122 m²,€ 380.000,2 baños,Piso,https://www.indomio.es/anuncios/92517295/,Albacete,Venta,Germán - gestión de inmuebles,5
100 m²,€ 135.000,2 baños - uno o más adaptados para personas con discapacidad,Piso ,https://www.indomio.es/anuncios/94469373/,Albacete,Venta,,6
149 m²,€ 250.000,2 baños,Piso,https://www.indomio.es/anuncios/95066049/,Albacete,Venta,Inmobiliaria La Mancha,6
388 m²,,3+ baños,Casa adosada,https://www.indomio.es/anuncios/95217277/,Albacete,Venta,Api vicente orozco,5
80 m²,€ 139.000,2 baños,Piso,https://www.indomio.es/anuncios/95504715/,Albacete,Venta,Inmobiliaria Tejares,5
52 m²,€ 51.000,,Piso,https://www.indomio.es/anuncios/95816433/,Albacete,Venta,Global House Albacete,2
100 m²,€ 110.000,1 baño,Piso,https://www.indomio.es/anuncios/95905909/,Albacete,Venta,Grupo Luxury Home,4
75 m²,€ 175.000,1 baño,Piso,https://www.indomio.es/anuncios/95956821/,Albacete,Venta,Inmobiliaria La Noria,3
110 m²,€ 130.000,2 baños,Piso,https://www.indomio.es/anuncios/96002993/,Albacete,Venta,InmoHouse,5
110 m²,€ 180.000,2 baños,Piso,https://www.indomio.es/anuncios/84309887/,Albacete,Venta,Soluziones Inmobiliarias,5
200 m²,€ 310.000,3 baños,Piso,https://www.indomio.es/anuncios/84307631/,Albacete,Venta,Inmobiliaria Tejares,8
80 m²,€ 124.000,1 baño,Piso,https://www.indomio.es/anuncios/84354173/,Albacete,Venta,Inmobiliaria Tejares,3
90 m²,€ 210.000,2 baños,Piso,https://www.indomio.es/anuncios/95017831/,Albacete,Venta,Fincasa Inmobiliaria,5
60 m²,€ 48.000,1 baño,Piso,https://www.indomio.es/anuncios/95118157/,Albacete,Venta,Inmobiliaria Tejares,4
230 m²,€ 335.000,3+ baños,Casa adosada,https://www.indomio.es/anuncios/95323457/,Albacete,Venta,Ana Isabel Martinez Marchante,5
171 m²,€ 295.000,3 baños,Piso,https://www.indomio.es/anuncios/95581057/,Albacete,Venta,Meraki,8
50 m²,€ 155.000,,Piso,https://www.indomio.es/anuncios/95629345/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,1
110 m²,€ 280.000,2 baños,Piso,https://www.indomio.es/anuncios/95629477/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,5
97 m²,€ 125.000,1 baño,Piso,https://www.indomio.es/anuncios/95781471/,Albacete,Venta,Inmobiliaria La Mancha,4
155 m²,€ 245.000,2 baños,Piso,https://www.indomio.es/anuncios/95916389/,Albacete,Venta,InmoHouse,5
50 m²,€ 150.000,1 baño,Piso,https://www.indomio.es/anuncios/95999871/,Albacete,Venta,Fincasa Inmobiliaria,2
90 m²,€ 170.000,1 baño,Piso,https://www.indomio.es/anuncios/96005461/,Albacete,Venta,AGENCIA INMOBILIARIA INTURAL,3
117 m²,€ 225.000,2 baños,Piso,https://www.indomio.es/anuncios/85551503/,Albacete,Venta,Soluziones Inmobiliarias,6
470 m²,€ 600.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/87252475/,Albacete,Venta,Inmobiliaria La Noria,9
130 m²,€ 299.999,2 baños,Piso,https://www.indomio.es/anuncios/87628309/,Albacete,Venta,Inmobiliaria Tejares,5
160 m²,€ 219.000,2 baños,Piso,https://www.indomio.es/anuncios/90259621/,Albacete,Venta,Alquilofacil - Albacete,7
175 m²,€ 176.000,2 baños,Casa adosada,https://www.indomio.es/anuncios/93760641/,Albacete,Venta,Inmobiliaria La Mancha,5
315 m²,€ 375.000,3 baños,Chalet,https://www.indomio.es/anuncios/93959627/,Albacete,Venta,AGENCIA INMOBILIARIA INTURAL,7
102 m²,€ 240.000,2 baños,Piso,https://www.indomio.es/anuncios/94977159/,Albacete,Venta,Inmobiliaria La Mancha,5
110 m²,€ 165.000,2 baños,Piso,https://www.indomio.es/anuncios/94800411/,Albacete,Venta,Ana Isabel Martinez Marchante,5
137 m²,€ 270.000,2 baños,Piso,https://www.indomio.es/anuncios/95286865/,Albacete,Venta,Inmobiliaria La Mancha,6
107 m²,€ 200.000,2 baños,Piso,https://www.indomio.es/anuncios/95135147/,Albacete,Venta,InmoHouse,5
90 m²,€ 170.000,1 baño,Piso,https://www.indomio.es/anuncios/95340577/,Albacete,Venta,InmoHouse,4
135 m²,€ 174.000,2 baños,Piso,https://www.indomio.es/anuncios/95478075/,Albacete,Venta,InmoHouse,5
118 m²,€ 141.000,2 baños,Piso,https://www.indomio.es/anuncios/95552427/,Albacete,Venta,AGENCIA INMOBILIARIA INTURAL,5
196 m²,€ 490.000,2 baños,Piso,https://www.indomio.es/anuncios/95629419/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,7
